pipeline,class,source,band,band_low_hz,band_high_hz,mean_energy_db,median_energy_db,std_energy_db,n_segments_or_windows
noise_reference,2um,standalone_noise_folder,80 kHz-Nyq,80000.0,,-50.98367635823363,-50.98360132152091,1.22437727873303,7625
noise_reference,4um,standalone_noise_folder,0-1 kHz,0.0,1000.0,-77.87725023166445,-75.95006710437198,9.151418782132932,3965
noise_reference,4um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,-52.17614070302698,-52.008762376696176,3.3746977170182366,3965
noise_reference,4um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,-41.76825352680171,-41.64571786202802,2.3947521953887656,3965
noise_reference,4um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,-33.69132942640502,-33.660708434395296,0.8176187991278164,3965
noise_reference,4um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,-37.11165837303048,-37.106071488825926,0.695214522750121,3965
noise_reference,4um,standalone_noise_folder,80 kHz-Nyq,80000.0,,-50.982530503117765,-50.9818737338496,1.22496447411089,3965
noise_reference,10um,standalone_noise_folder,0-1 kHz,0.0,1000.0,-77.87725023166445,-75.95006710437198,9.151418782132932,3965
noise_reference,10um,standalone_noise_folder,1-7 kHz,1000.0,7000.0,-52.17614070302698,-52.008762376696176,3.3746977170182366,3965
noise_reference,10um,standalone_noise_folder,7-10 kHz,7000.0,10000.0,-41.76825352680171,-41.64571786202802,2.3947521953887656,3965
noise_reference,10um,standalone_noise_folder,10-40 kHz,10000.0,40000.0,-33.69132942640502,-33.660708434395296,0.8176187991278164,3965
noise_reference,10um,standalone_noise_folder,40-80 kHz,40000.0,80000.0,-37.11165837303048,-37.106071488825926,0.695214522750121,3965
noise_reference,10um,standalone_noise_folder,80 kHz-Nyq,80000.0,,-50.982530503117765,-50.9818737338496,1.22496447411089,3965
